DATE,CLOSE
01-03-2006,11.14
01-04-2006,11.37
01-05-2006,11.31
01-06-2006,11
01-09-2006,11.13
01-10-2006,10.86
01-11-2006,10.94
01-12-2006,11.2
01/13/2006,11.23
01/17/2006,11.91
01/18/2006,12.25
01/19/2006,11.98
01/20/2006,14.56
01/23/2006,13.93
01/24/2006,13.31
01/25/2006,12.87
01/26/2006,12.42
01/27/2006,11.97
01/30/2006,12.39
01/31/2006,12.95
02-01-2006,12.36
02-02-2006,13.23
02-03-2006,12.96
02-06-2006,13.04
02-07-2006,13.59
02-08-2006,12.83
02-09-2006,13.12
02-10-2006,12.87
02/13/2006,13.35
02/14/2006,12.25
02/15/2006,12.31
02/16/2006,11.48
02/17/2006,12.01
02/21/2006,12.41
02/22/2006,11.88
02/23/2006,11.87
02/24/2006,11.46
02/27/2006,11.59
02/28/2006,12.34
03-01-2006,11.54
03-02-2006,11.72
03-03-2006,11.96
03-06-2006,12.74
03-07-2006,12.66
03-08-2006,12.32
03-09-2006,12.68
03-10-2006,11.85
03/13/2006,11.37
03/14/2006,10.74
03/15/2006,11.35
03/16/2006,11.98
03/17/2006,12.12
03/20/2006,11.79
03/21/2006,11.62
03/22/2006,11.21
03/23/2006,11.17
03/24/2006,11.19
03/27/2006,11.46
03/28/2006,11.58
03/29/2006,10.95
03/30/2006,11.57
03/31/2006,11.39
04-03-2006,11.57
04-04-2006,11.14
04-05-2006,11.13
04-06-2006,11.45
04-07-2006,12.26
04-10-2006,12.19
04-11-2006,13
04-12-2006,12.76
04/13/2006,12.38
04/17/2006,12.58
04/18/2006,11.4
04/19/2006,11.32
04/20/2006,11.64
04/21/2006,11.59
04/24/2006,11.75
04/25/2006,11.75
04/26/2006,11.76
04/27/2006,11.84
04/28/2006,11.59
05-01-2006,12.54
05-02-2006,11.99
05-03-2006,11.99
05-04-2006,11.99
05-05-2006,11.62
05-08-2006,12
05-09-2006,11.99
05-10-2006,11.78
05-11-2006,12.49
05-12-2006,14.19
05/15/2006,13.57
05/16/2006,13.35
05/17/2006,16.26
05/18/2006,16.99
05/19/2006,17.18
05/22/2006,17.72
05/23/2006,18.26
05/24/2006,17.36
05/25/2006,15.5
05/26/2006,14.26
05/30/2006,18.66
05/31/2006,16.44
06-01-2006,14.52
06-02-2006,14.32
